horoscope,sign,month,day
"Happy memories of a beloved grandparent may float to the surface today, Aries, and you may wonder why. Something or someone you've encountered in the past few days may have reminded you of this person. It's nice and it isn't an accident. What personality trait of yours does your grandparent call to mind? A psycho-emotional issue associated with this trait may need to be resolved now.",1,02,23
"A meeting may take place today that you don't want to attend, Taurus. It could be long and boring, but you should still make the effort to listen. Colleagues will want to discuss the issues with you afterward, and you might learn something in spite of the boredom. Think of it this way - it's only an hour or so. Concentrate on what's being said and not on the clock.",2,02,23
"A project could be successfully completed today, Gemini. Discussions may already be taking place about the next one, but you aren't inclined to think about that, at least not right away. You will want to bask in your accomplishment and relax for a while. No one can blame you for that, so don't worry if you don't go to brainstorming sessions. Wait until it progresses beyond talk.",3,02,23
"If you're involved in the study of a particular subject, Cancer, today you might want to bury yourself in your books and learn as much as you can. This is good, because your concentration is especially good. Go to the library or a private room where you won't be distracted and hit the books. Find some new works on the subject if you can. You might discover some surprising information.",4,02,23
"This isn't the day to make investments, Leo. You may read in the paper or online about some hot new stocks, but be very careful. If you're interested, consult a professional before investing money. Even after you've talked to an expert, it's still a good idea to wait a day or two before you make the investment. Any hot tips you receive today could be rather doubtful. Be patient.",5,02,23
"Does a love partner appear to be moody today, Virgo? One moment your friend may be enthusiastic and optimistic about the future, and the next moment overcome with gloom. Don't let this get to you, and certainly don't get overly upset with your partner. Listen rather than talk, and be patient. Tomorrow your friend's moods should be back to normal.",6,02,23
"Are you working two jobs, Libra? Today one could demand a lot of you, probably at the expense of the other. You tend to be very conscientious and responsible, so this might bother you, but don't let it get to you. The day may come when the situation is reversed. Everyone around you knows that you're an asset to the enterprise, even if there are times like this when you have to ask for a break.",7,02,23
"Your natural urge to innovate may seem to have vanished today, Scorpio. You may not feel like doing anything outside of routine tasks that you can do automatically. You're suffering from low biorhythms, so don't fall into the trap of thinking you're turning into a lazy bum. Relax today, and tomorrow you will be your usual energetic, inventive self. Tonight, watch some videos and forget your day.",8,02,23
"['\n', ' - The urge to stay in and rearrange your furniture might hit you today, Sagittarius. You may want to clean out the shelves in your kitchen, add some new knickknacks, or rearrange your books into specific classifications. This may be a lot of work, but it will also be a lot of fun. Get other members of the household to help and turn it into a party.\n', ""Who's in your future? "", ""Who's in your future? ""]",9,02,23
"Are you expecting an important communication, perhaps business related, Capricorn? If it comes today, it will probably come late. If you feel you must sit around and wait for it, find something else to do in the meantime or you will drive yourself crazy. If it doesn't arrive by the end of the day, resign yourself to waiting. Don't panic. It will come soon enough.",10,02,23
"A check you've been expecting to receive by mail will probably be delayed, Aquarius. It's nothing to worry about. Chances are it got hung up at the post office and will arrive soon. Don't waste your time worrying needlessly. If you feel it necessary, make contingency plans for getting by. Your money is coming. Hang in there.",11,02,23
"['\n', ' - You may not be your usual cheery self today, Pisces. Gloom may have come over you. You may doubt everything that happens in your life. No matter how promising a career, romance, or money matter seems, you think the worst. Treat yourself today. Get a massage, relax in a hot tub, and rub and soak out those doubting spirits. That will get you through the day. Tomorrow you will be back to normal.\n', ""Who's in your future? "", ""Who's in your future? ""]",12,02,23
